Date,Theatre_name,Weekly_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2015-05-10,Studio 54,477703.0,0.0,129.04,3702.0,1006.0,0.0,92.0,0.0
2015-05-10,Samuel J. Friedman Theatre,175953.0,18924.0,48.77,3608.0,627.0,8.0,71.93,3.77
2015-05-10,New Amsterdam Theatre,1422347.0,14003.0,103.32,13766.0,1723.0,8.0,99.87,-0.14
2015-05-10,Palace Theatre,1298817.0,78586.0,98.49,13187.0,1679.0,8.0,98.18,1.2
2015-05-10,Gerald Schoenfeld Theatre,1167241.0,948.0,154.83,7539.0,1069.0,7.0,100.75,0.07
2015-05-10,Stephen Sondheim Theatre,1075887.0,42877.0,143.39,7503.0,1026.0,8.0,91.41,1.0
2015-05-10,Eugene O'Neill Theatre,1446131.0,38143.0,165.39,8744.0,1066.0,8.0,102.53,-0.06
2015-05-10,Ambassador Theatre,633554.0,34561.0,80.81,7840.0,1080.0,8.0,90.74,4.43
2015-05-10,Ethel Barrymore Theatre,682260.0,50671.0,99.76,6839.0,1018.0,8.0,83.98,6.38
2015-05-10,Broadway Theatre,537474.0,22311.0,62.66,8578.0,1478.0,8.0,72.55,4.94
2015-05-10,Lunt-Fontanne Theatre,1041008.0,-52490.0,97.75,10650.0,1504.0,8.0,88.51,-5.47
2015-05-10,Cort Theatre,1190948.0,32567.0,136.88,8701.0,1073.0,8.0,101.36,0.08
2015-05-10,Circle in the Square Theatre,571496.0,39511.0,96.57,5918.0,730.0,8.0,101.34,3.74
2015-05-10,Walter Kerr Theatre,552694.0,52656.0,94.95,5821.0,907.0,8.0,80.22,9.27
2015-05-10,Neil Simon Theatre,434201.0,-116315.0,70.27,6179.0,1384.0,8.0,55.81,-5.9
2015-05-10,Booth Theatre,400886.0,54522.0,79.21,5061.0,782.0,8.0,80.9,4.84
2015-05-10,Belasco Theatre,425224.0,6522.0,82.62,5147.0,1007.0,7.0,73.02,3.46
2015-05-10,Brooks Atkinson Theatre,409488.0,59207.0,68.01,6021.0,1012.0,8.0,74.37,14.59
2015-05-10,Gerald Schoenfeld Theatre,694112.0,110070.0,99.89,6949.0,1077.0,8.0,80.65,10.11
2015-05-10,August Wilson Theatre,630632.0,55421.0,98.57,6398.0,1228.0,8.0,65.13,4.94
2015-05-10,Vivian Beaumont Theater,951532.0,-46855.0,113.6,8376.0,1047.0,8.0,100.0,0.0
2015-05-10,Al Hirschfeld Theatre,929720.0,28686.0,101.9,9124.0,1424.0,8.0,80.09,5.73
2015-05-10,Imperial Theatre,583967.0,12135.0,78.33,7455.0,1409.0,8.0,66.14,-2.45
2015-05-10,Minskoff Theatre,1701798.0,-206501.0,148.24,11480.0,1700.0,7.0,96.47,1.34
2015-05-10,Winter Garden Theatre,700567.0,39771.0,87.27,8028.0,1166.0,8.0,86.06,3.32
2015-05-10,Sam S. Shubert Theatre,762461.0,26801.0,78.53,9709.0,1432.0,8.0,84.75,2.44
2015-05-10,Lyric Theatre,202745.0,-298895.0,45.82,4425.0,1874.0,4.0,59.03,6.04
2015-05-10,American Airlines Theatre,595851.0,106164.0,104.19,5719.0,722.0,8.0,99.01,1.38
2015-05-10,Majestic Theatre,788386.0,-48792.0,79.81,9878.0,1605.0,8.0,76.93,-4.87
2015-05-10,John Golden Theatre,763767.0,-12606.0,119.39,6397.0,802.0,8.0,99.7,-0.07
2015-05-10,St. James Theatre,903211.0,102178.0,77.26,11691.0,1667.0,8.0,87.67,3.36
2015-05-10,Lyceum Theatre,208078.0,13933.0,52.57,3958.0,901.0,8.0,54.91,-5.33
2015-05-10,Gershwin Theatre,1469322.0,81866.0,112.45,13067.0,1807.0,8.0,90.39,3.79
