theatre,address,capacity,owner
Al Hirschfeld Theatre,W. 45th St. (No. 302),1424,Jujamcyn Theaters
Ambassador Theatre,W. 49th St. (No. 219),1125,Shubert Organization
American Airlines Theatre,W. 42nd St. (No. 227),740,Roundabout Theatre Company
August Wilson Theatre,W. 52nd St. (No. 245),1228,Jujamcyn Theaters
Belasco Theatre,W. 44th St. (No. 111),1018,Shubert Organization
Bernard B. Jacobs Theatre,W. 45th St. (No. 242),1078,Shubert Organization
Booth Theatre,W. 45th St. (No. 222),766,Shubert Organization
Broadhurst Theatre,W. 44th St. (No. 235),1186,Shubert Organization
Broadway Theatre,W. 53rd St & Broadway (No. 1681),1761,Shubert Organization
Circle in the Square Theatre,W. 50th St. (No. 235),840,Independent
Ethel Barrymore Theatre,W. 47th St. (No. 243),1096,Shubert Organization
Eugene O'Neill Theatre,W. 49th St. (No. 230),1066,Jujamcyn Theaters
Gerald Schoenfeld Theatre,W. 45th St. (No. 236),1079,Shubert Organization
Gershwin Theatre,W. 51st St. (No. 222),1933,Nederlander Organization
Hayes Theater,W. 44th St. (No. 240),597,Second Stage Theater
Hudson Theatre,W. 44th St. (No. 141),970,Ambassador Theatre Group
Imperial Theatre,W. 45th St. (No. 249),1443,Shubert Organization
James Earl Jones Theatre,W. 48th St. (No. 138),1084,Shubert Organization
John Golden Theatre,W. 45th St. (No. 252),805,Shubert Organization
Lena Horne Theatre,W. 47th St. (No. 256),1094,Nederlander Organization
Longacre Theatre,W. 48th St. (No. 220),1091,Shubert Organization
Lunt-Fontanne Theatre,W. 46th St. (No. 205),1519,Nederlander Organization
Lyceum Theatre,W. 45th St. (No. 149),922,Shubert Organization
Lyric Theatre,W. 43rd St. (No. 214),1622,Ambassador Theatre Group
Majestic Theatre,W. 44th St. (No. 245),1645,Shubert Organization
Marquis Theatre,W. 46th St. (No. 210),1612,Nederlander Organization
Minskoff Theatre,W. 45th St. (No. 200),1710,Nederlander Organization
Music Box Theatre,W. 45th St. (No. 239),1009,Shubert Organization
Nederlander Theatre,W. 41st St. (No. 208),1235,Nederlander Organization
Neil Simon Theatre,W. 52nd St. (No. 250),1467,Nederlander Organization
New Amsterdam Theatre,W. 42nd St. (No. 214),1747,Disney Theatrical Group
Palace Theatre,W. 47th St. & Broadway (No. 1564),1743,Nederlander Organization
Richard Rodgers Theatre,W. 46th St. (No. 226),1400,Nederlander Organization
St. James Theatre,W. 44th St. (No. 246),1709,Jujamcyn Theaters
Samuel J. Friedman Theatre,W. 47th St. (No. 261),650,Manhattan Theatre Club
Shubert Theatre,W. 44th St. (No. 225),1460,Shubert Organization
Stephen Sondheim Theatre,W. 43rd St. (No. 124),1055,Roundabout Theatre Company
Studio 54,W. 54th St. (No. 254),1006,Roundabout Theatre Company
Vivian Beaumont Theater,W. 65th St. (No. 150),1080,Lincoln Center Theatre
Walter Kerr Theatre,W. 48th St. (No. 219),945,Jujamcyn Theaters
Winter Garden Theatre,W. 50th St. & Broadway (No. 1634),1526,Shubert Organization
