,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Top Ticket Price,Theater Capacity,Preview Count
0,& Juliet,"$1,066,526.00","$59,282.20",$137.35,"7,765",8,94.60%,-0.60%,2023-05-14,Stephen Sondheim Theatre,$323.00,"1,026",0
1,Aladdin,"$1,176,092.40","-$59,847.80",$94.70,"12,419",8,89.89%,-2.55%,2023-05-14,New Amsterdam Theatre,$215.50,"1,727",0
2,Bad Cinderella,"$324,003.00","-$2,299.90",$45.84,"7,068",8,63.20%,9.50%,2023-05-14,Imperial Theatre,$297.00,"1,398",0
3,"A Beautiful Noise, The Neil Diamond Musical","$1,009,263.25","$39,932.85",$138.64,"7,280",8,78.99%,3.52%,2023-05-14,Broadhurst Theatre,$347.50,"1,152",0
4,The Book of Mormon,"$900,222.20","$45,791.86",$114.42,"7,868",8,92.26%,4.12%,2023-05-14,Eugene O'Neill Theatre,$0.00,"1,066",0
5,Camelot,"$871,290.00","$39,816.00",$111.85,"7,790",8,93.00%,6.61%,2023-05-14,Vivian Beaumont Theater,$249.00,"1,047",0
6,Chicago,"$557,149.15","-$14,667.25",$93.64,"5,950",8,68.87%,-1.95%,2023-05-14,Ambassador Theatre,$237.00,"1,080",0
7,Dancin',"$678,146.70","$194,712.68",$97.90,"6,927",8,87.55%,19.84%,2023-05-14,Music Box Theatre,$297.00,989,0
8,A Doll's House,"$804,878.00","$28,910.00",$117.55,"6,847",8,90.47%,0.41%,2023-05-14,Hudson Theatre,$299.00,946,0
9,Fat Ham,"$360,032.70","$10,686.70",$75.46,"4,771",8,84.71%,-1.26%,2023-05-14,American Airlines Theatre,$247.00,704,0
10,Funny Girl,"$1,637,625.10","$189,081.10",$184.52,"8,875",8,91.01%,13.72%,2023-05-14,August Wilson Theatre,$0.00,"1,219",0
11,"Good Night, Oscar","$668,130.22","-$34,323.94",$143.90,"4,643",7,64.90%,-3.26%,2023-05-14,Belasco Theatre,$297.00,"1,022",0
12,Grey House,"$384,175.45","$26,962.10",$71.17,"5,398",0,75.31%,-5.24%,2023-05-14,Lyceum Theatre,$237.00,896,8
13,Hadestown,"$672,948.25","$43,181.25",$97.76,"6,884",8,93.74%,2.01%,2023-05-14,Walter Kerr Theatre,$0.00,918,0
14,Hamilton,"$1,889,515.00","$111,290.00",$182.12,"10,375",8,97.95%,-2.80%,2023-05-14,Richard Rodgers Theatre,$449.00,"1,324",0
15,Harry Potter and the Cursed Child,"$1,056,805.10","-$94,006.40",$104.39,"10,124",8,78.02%,-4.32%,2023-05-14,Lyric Theatre,$349.00,"1,622",0
16,Kimberly Akimbo,"$487,391.70","$75,112.95",$84.85,"5,744",8,92.88%,2.31%,2023-05-14,Booth Theatre,$277.00,773,0
17,Leopoldstadt,"$504,742.98","$31,289.64",$99.50,"5,073",8,58.99%,-2.72%,2023-05-14,Longacre Theatre,$347.00,"1,075",0
18,Life of Pi,"$537,189.80","$38,342.20",$85.46,"6,286",8,80.34%,1.80%,2023-05-14,Gerald Schoenfeld Theatre,$277.00,978,0
19,The Lion King,"$1,960,078.00","-$21,072.00",$156.24,"12,545",8,92.46%,2.90%,2023-05-14,Minskoff Theatre,$199.00,"1,696",0
20,MJ The Musical,"$1,606,930.00","-$46,273.00",$149.76,"10,730",8,96.70%,-0.57%,2023-05-14,Neil Simon Theatre,$250.00,"1,387",0
21,Moulin Rouge! The Musical,"$1,262,451.88","$11,600.05",$125.58,"10,053",8,96.66%,-1.09%,2023-05-14,Al Hirschfeld Theatre,$0.00,"1,300",0
22,"New York, New York","$1,009,461.25","-$9,660.00",$90.03,"11,212",8,84.48%,0.87%,2023-05-14,St. James Theatre,$0.00,"1,659",0
23,Once Upon A One More Time,"$168,988.50",$0.00,$126.21,"1,339",0,83.48%,0.00%,2023-05-14,Marquis Theatre,$297.00,"1,604",1
24,Parade,"$1,100,477.85","$88,126.45",$144.48,"7,617",8,93.35%,4.62%,2023-05-14,Bernard B. Jacobs Theatre,$297.00,"1,020",0
25,Peter Pan Goes Wrong,"$463,335.00","-$220,110.30",$86.70,"5,344",8,63.80%,-14.35%,2023-05-14,Ethel Barrymore Theatre,$197.00,"1,047",0
26,Prima Facie,"$970,121.20","-$3,205.22",$155.47,"6,240",8,97.26%,1.25%,2023-05-14,John Golden Theatre,$294.00,802,0
