,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Top Ticket Price,Theater Capacity,Preview Count
0,Aladdin,"$1,273,005.65","$84,366.48",$96.74,"13,159",8,95.24%,-0.35%,2022-06-12,New Amsterdam Theatre,$199.50,"1,727",0
1,American Buffalo,"$460,041.96","$26,493.16",$102.73,"4,478",8,74.53%,1.08%,2022-06-12,Circle in the Square Theatre,$299.50,751,0
2,Beetlejuice,"$1,160,587.50","$141,086.00",$117.59,"9,870",8,77.01%,7.61%,2022-06-12,Marquis Theatre,$249.00,"1,602",0
3,The Book of Mormon,"$1,003,363.50","$55,519.60",$124.49,"8,060",8,94.51%,3.54%,2022-06-12,Eugene O'Neill Theatre,$0.00,"1,066",0
4,Chicago,"$548,919.39","-$214,533.10",$89.18,"6,155",8,71.24%,-19.01%,2022-06-12,Ambassador Theatre,$197.00,"1,080",0
5,Come From Away,"$592,763.50","$131,004.00",$92.26,"6,425",8,76.78%,13.13%,2022-06-12,Gerald Schoenfeld Theatre,$247.00,"1,046",0
6,Company,"$640,297.03","$57,317.88",$103.36,"6,195",8,74.03%,8.47%,2022-06-12,Bernard B. Jacobs Theatre,$327.00,"1,046",0
7,Dear Evan Hansen,"$587,266.80","$78,811.85",$94.83,"6,193",8,78.67%,9.15%,2022-06-12,Music Box Theatre,$248.00,984,0
8,Funny Girl,"$1,116,695.25","-$61,331.50",$133.27,"8,379",8,85.92%,-1.80%,2022-06-12,August Wilson Theatre,$0.00,"1,219",0
9,Girl From the North Country,"$274,733.50","-$33,400.74",$76.70,"3,582",7,64.12%,8.61%,2022-06-12,Belasco Theatre,$197.00,798,0
10,Hadestown,"$878,292.75","$31,353.90",$121.26,"7,243",8,98.62%,1.32%,2022-06-12,Walter Kerr Theatre,$0.00,918,0
11,Hamilton,"$2,190,665.00","-$1,053.00",$213.91,"10,241",8,96.69%,-3.30%,2022-06-12,Richard Rodgers Theatre,$449.00,"1,324",0
