,Title,Weekly Gross,Gross Difference,Average Ticket Price,Seats Sold,Performance Count,Percent Capacity,Capacity Difference,Week Ending,Theater,Potential Gross,Top Ticket Price,Theater Capacity,Preview Count
0,Ain't Too Proud—The Life and Times of the Temptations,"$920,904.24","-$94,845.77",$100.54,"9,160",8,80.41%,-1.79%,2020-03-08,Imperial Theatre,"$1,520,824.00",$297.00,"1,424",0
1,Aladdin,"$1,002,597.40","-$89,465.20",$80.39,"12,471",8,90.26%,-5.93%,2020-03-08,New Amsterdam Theatre,"$1,392,854.00",$227.50,"1,727",0
2,Beetlejuice,"$1,023,779.60","-$54,132.00",$94.78,"10,802",8,90.44%,-4.78%,2020-03-08,Winter Garden Theatre,"$1,310,008.00",$323.00,"1,493",0
3,The Book of Mormon,"$929,168.30","$32,168.80",$112.67,"8,247",8,98.46%,3.43%,2020-03-08,Eugene O'Neill Theatre,"$1,190,502.00",$477.50,"1,047",0
4,Chicago,"$536,990.80","-$9,851.20",$83.07,"6,464",8,74.81%,-0.85%,2020-03-08,Ambassador Theatre,"$960,444.00",$197.00,"1,080",0
5,Come From Away,"$797,780.70","-$6,854.90",$95.79,"8,328",8,99.52%,-1.08%,2020-03-08,Gerald Schoenfeld Theatre,"$1,108,592.00",$297.00,"1,046",0
6,Company,"$779,588.10",$0.00,$124.16,"6,279",0,101.60%,0.00%,2020-03-08,Bernard B. Jacobs Theatre,"$875,460.00",$327.00,"1,030",6
7,Dear Evan Hansen,"$981,271.30","$15,538.20",$126.62,"7,750",8,98.45%,1.42%,2020-03-08,Music Box Theatre,"$1,234,034.00",$297.00,984,0
8,Frozen,"$798,610.40","-$126,483.70",$73.48,"10,869",8,80.68%,-10.79%,2020-03-08,St. James Theatre,"$1,156,856.00",$217.50,"1,684",0
9,Girl From the North Country,"$477,388.20","-$26,305.80",$75.57,"6,317",4,79.12%,2.02%,2020-03-08,Belasco Theatre,"$939,738.00",$247.00,998,4
10,Hadestown,"$1,086,477.75","$69,803.00",$147.10,"7,386",8,100.57%,-0.04%,2020-03-08,Walter Kerr Theatre,"$1,094,012.00",$0.00,918,0
