Date,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
2022-05-08,Aladdin,1091385.55,125858.37,83.17,13123.0,1727.0,8.0,94.98,4.39
2022-05-08,American Buffalo,514501.63,-14344.67,109.80,4686.0,751.0,8.0,78.0,0.94
2022-05-08,Beetlejuice,900622.5,24883.90,111.99,8042.0,1602.0,8.0,62.75,5.51
2022-05-08,Birthday Candles,264076.0,-22311.00,72.87,3624.0,727.0,8.0,62.31,-5.16
2022-05-08,The Book of Mormon,905752.71,48571.74,115.02,7875.0,1066.0,8.0,92.34,6.61
2022-05-08,Chicago,684274.4,99173.15,95.72,7149.0,1080.0,8.0,82.74,10.68
2022-05-08,Come From Away,473306.68,27212.28,96.08,4926.0,1046.0,8.0,58.87,-2.1
2022-05-08,Company,617116.73,-43105.98,110.93,5563.0,1046.0,8.0,66.48,0.14
2022-05-08,Dear Evan Hansen,489004.5,14396.80,90.64,5395.0,984.0,8.0,68.53,4.16
2022-05-08,for colored girls who have considered suicide/when the rainbow is enuf,159092.9,-91081.60,65.71,2421.0,773.0,8.0,39.15,-11.77
2022-05-08,Funny Girl,1382855.75,266382.80,145.38,9512.0,1219.0,8.0,97.54,0.58
2022-05-08,Girl From the North Country,274781.5,142825.00,82.25,3341.0,798.0,8.0,52.33,-3.88
2022-05-08,Hadestown,856528.5,4841.50,118.81,7209.0,918.0,8.0,98.16,2.79
2022-05-08,Hamilton,2103020.0,11287.00,210.05,10012.0,1324.0,8.0,94.52,3.39
2022-05-08,Hangmen,252543.44,-41489.56,97.09,2601.0,802.0,8.0,40.54,-15.06
2022-05-08,Harry Potter and the Cursed Child,1177920.8,81968.80,112.55,10466.0,1622.0,8.0,80.66,9.89
2022-05-08,How I Learned to Drive,317017.0,5987.00,75.10,4221.0,637.0,8.0,82.83,-13.72
2022-05-08,The Lion King,1716181.0,80784.00,130.06,13195.0,1696.0,8.0,97.25,3.67
2022-05-08,The Little Prince,330668.47,97860.47,53.07,6231.0,1472.0,8.0,52.91,27.01
2022-05-08,Macbeth,1365598.5,394861.50,169.07,8077.0,1051.0,8.0,96.06,-3.34
2022-05-08,The Minutes,346283.0,-28529.00,93.69,3696.0,667.0,8.0,69.27,-6.74
2022-05-08,MJ The Musical,1352589.0,125763.90,135.63,9973.0,1387.0,8.0,89.88,5.44
2022-05-08,Moulin Rouge! The Musical,1592497.5,172652.90,154.27,10323.0,1300.0,8.0,99.26,4.03
